,별점,리뷰내용,작성자,작성일자,공감 횟수,비공감 횟수
0,10,진짜 아이언맨은 1부터봐야 진리다.. 1안보고 보통 어벤져스때 아이언맨처음본사람 많은데 진짜 아무것도모른상태로 1보면 진짜 개재미짐..,rkdh****,2013.06.29 01:08,1292,36
1,10,마블 시네마틱스가 이렇게 커질 수 있었던건 오로지 아이언맨 덕분,명탐정(skip****),2013.07.22 11:46,1249,35
2,7,"잘 만들었고 재미있다. 히어로가 성인군자가 아닌 것이 불쾌할 수도 있지만, 오히려 그래서 답답하지 않고 시원한 맛도 있었다.",Sean(tscm****),2013.07.09 20:33,600,39
3,8,이 영화는 전설의 시작? 이라고 보면 맞겠다. 2012년 한해를 강타했었던 히어로 블록버스터 어벤져스의 초석 이라 할 수 있다. 마블 성장의 기반을 다질 수 있었던 것도 아이언맨 덕뿐. 히어로 영화의 수작,몬냥이(shmi****),2014.02.14 19:31,565,19
4,10,기존 히어로물을 다 싹 갈아엎고 히어로물계의 한획을 긋는 작품.,3rds(idon****),2013.10.07 09:50,528,22
5,9,"동굴에서 자신이 만든 무기때문에 생명이 위태로울때 목숨을 지켜준건 돈이 아닌 선량한 사람의 목숨이였습니다. ""당신의 인생을 낭비하지 마세요.."" 잉센의 희생으로 생명의 가치를 깨닫고 전투로봇을 넘어서 ...",라츠(sopr****),2015.09.16 09:39,441,11
6,10,근데 이게 처음엔 반신반의하고 만든 영화라는 것,Tabernacle(ko06****),2014.01.29 23:10,440,20
7,10,전설의시작,dlkad(op48****),2013.06.28 17:05,416,15
8,9,개성 강한 히어로의 탄생. 착하기만한 다른 히어로들과 달리 불량스러운게 신선하고 재밌다. 어벤져스에서 절대 없어선 안 될 최고 캐릭터.,pmsr****,2014.04.22 16:37,368,13
9,8,재밌네요,이(2_dp****),2013.07.11 01:19,242,26
10,10,진짜 마블이든 디씨든 히어로물 중에서 제일 재밌는걸 뽑으라고 하면 진짜 아이언맨이 진리다.,미트볼(kesd****),2014.02.20 11:04,213,11
11,10,아이언맨 3000만큼 사랑해,꿀사과(kde5****),2019.04.24 23:55,199,1
12,9,재미있다,mani****,2013.07.07 21:22,208,18
13,9,마블히어로 중 가장 멋있고 유머있는 케릭터.  개인적으로 1편이 가장 몰입도가 높았음.,미스터촤(jjaj****),2014.02.04 04:41,186,9
14,10,토니에게 따뜻한 가슴이 있다는 증거 ㅠㅠ,레리라리(wss0****),2019.04.24 22:08,152,2
15,10,재개봉해라. 로버트 다우니 주니어의 전성기를 보고 싶어하는 분들을 위해서라도 아이언맨1의 짜릿함을 위해서라도  극장가서 보지 못한 사람들을 위해서라도...,eren(olg3****),2016.06.28 22:49,151,8
16,10,도데체 몇번을 다시 봤는지 모를정도..,멍텅구리(woll****),2013.06.20 17:17,152,12
17,8,"거만하고 제멋대로인 주인공이지만, Iron Man이기에 용서가 되는 영화.",영용(zero****),2013.11.28 08:19,138,7
18,9,세상에서가장매력적인히어로의등장,skeh****,2014.01.30 22:59,128,10
19,9,나를 마블 빠돌이로 만든 장본인. 모든 시작은 여기서부터다.,노비츠키(dulc****),2015.03.30 14:11,109,5
20,10,이거 극장에서 처음볼때의 유쾌함을 아직도 잊을수 없어요ㅋㅋ,sinbal(ajik****),2013.08.23 20:01,104,4
21,10,맨날 친구들한테 이런걸 왜봐 이러면서 궁금증에 봤다. 다 보자마자 박수 밖에 안나오더라.. 진짜 대단하다 히어로물 영화 진짜 안좋아했는데 아이언맨 때문에 다시보게 됬다 진짜 판타지물 영화중에 최고 판타지중에 아바타가...,정민지(hiu0****),2014.04.30 21:19,108,9
22,10,마블.. 시작과 끝은 I'm Ironman.,급식먹고싶다(tjrf****),2019.04.24 21:14,88,0
23,10,제일 해학적이고 개성적인 영웅,우리옹(gusn****),2014.03.15 00:13,90,5
24,9,단순히 초능력이 아닌 과학적이고 똑똑하다! 뿐만아니라 돈도 많고 천재적인데 겸손한척하지도 않고 이기적이다! 그치만 미워할수 없는 섹시한 영웅이다!,rami****,2014.12.12 23:30,87,3
25,9,남자 노소 불문 로망 그 자체.,00(yhzz****),2014.02.10 19:15,96,19
26,9,어벤져스의 시작...,Hello21(qudw****),2014.04.19 16:24,75,4
27,10,로버트 다우니 주니어 나오는 거면 무조건 좋음,레니토이(534k****),2013.11.06 17:43,73,7
28,9,"스포츠카, 돈, 로봇... 남자들의 로망",촬리모픽(arti****),2013.12.10 14:33,82,16
29,9,아이언맨은 그 자체로 너무 멋있다.,Raphael(h_ra****),2013.07.30 21:28,63,5
30,10,아이언맨 시리즈 다 좋지만 1이 최고,뤼시(a777****),2013.09.14 23:43,54,5
31,10,토니의 운전기사역 배우가 이 영화의 감독인 건 다들 아시죠..?,차차아리(nick****),2016.12.20 01:53,47,2
32,9,죄송합니다 전 토니 스타크가 아니잖아요?,wowt****,2016.06.16 23:03,48,4
33,10,전문가 평점보소 ㅋㅋ조센 평론가들의 허세 하난ㅋㅋㅋ. IMDB 7.9 로튼지스 94% 메타스코어 79인 대작의 평점이 6점대??? 깔끔한 스토리와 마블 슈퍼히어로의 시대를 열었다는 상징도 담고있기에 10점,Balmain(rona****),2016.01.10 18:44,51,7
